,image_name,width,height,x0,y0,x1,y1,is_valid,box_area,resolution,label,face_count
68,00000819.jpg,1024,683,289,20,640,292,True,95472,"(1024, 683)",1.0,1
69,00001332.jpg,600,620,237,2,376,167,True,22935,"(600, 620)",1.0,1
70,00000992.jpg,1125,750,479,194,694,357,True,35045,"(1125, 750)",1.0,1
71,00003243.jpg,500,488,157,284,215,350,True,3828,"(500, 488)",1.0,1
72,00000986.jpg,1600,900,832,488,1380,854,True,200568,"(1600, 900)",1.0,1
74,00001440.jpg,3850,2567,1204,564,2289,1406,True,913570,"(3850, 2567)",1.0,1
75,00001326.jpg,626,417,130,35,303,172,True,23701,"(626, 417)",1.0,1
76,00002607.jpg,626,417,279,48,456,185,True,24249,"(626, 417)",1.0,1
80,00002161.jpg,1000,730,70,140,172,227,True,8874,"(1000, 730)",1.0,1
83,00001468.jpg,600,419,276,55,589,309,True,79502,"(600, 419)",1.0,1
84,00000762.jpg,800,583,482,22,622,141,True,16660,"(800, 583)",1.0,1
85,00002613.jpg,2000,1333,369,324,984,800,True,292740,"(2000, 1333)",1.0,1
87,00000004.jpg,1000,1241,476,177,588,335,True,17696,"(1000, 1241)",1.0,1
88,00000789.jpg,2000,3019,735,296,1171,1062,True,333976,"(2000, 3019)",1.0,1
89,00000951.jpg,1356,1681,376,164,619,516,True,85536,"(1356, 1681)",1.0,1
90,00001497.jpg,600,336,125,26,344,172,True,31974,"(600, 336)",1.0,1
91,00001483.jpg,960,580,156,4,860,489,True,341440,"(960, 580)",1.0,1
92,00002808.jpg,500,333,179,59,336,183,True,19468,"(500, 333)",1.0,1
93,00003041.jpg,800,533,312,64,639,323,True,84693,"(800, 533)",1.0,1
95,00000548.jpg,508,339,395,100,506,188,True,9768,"(508, 339)",1.0,1
103,00001656.jpg,650,433,329,16,443,105,True,10146,"(650, 433)",1.0,1
104,00001130.jpg,867,1300,131,1,442,422,True,130931,"(867, 1300)",1.0,1
105,00001124.jpg,500,333,81,1,412,183,True,60242,"(500, 333)",1.0,1
106,00001642.jpg,1125,750,452,219,677,393,True,39150,"(1125, 750)",1.0,1
107,00003055.jpg,1300,957,191,187,527,475,True,96768,"(1300, 957)",1.0,1
109,00002405.jpg,2048,1365,1266,105,1634,397,True,107456,"(2048, 1365)",1.0,1
110,00000206.jpg,1000,667,527,87,803,296,True,57684,"(1000, 667)",1.0,1
111,00002411.jpg,840,560,470,76,678,237,True,33488,"(840, 560)",1.0,1
112,00003069.jpg,1023,713,224,319,483,529,True,54390,"(1023, 713)",1.0,1
120,00000560.jpg,1500,1001,769,81,1271,464,True,192266,"(1500, 1001)",1.0,1
125,00001695.jpg,323,254,98,62,211,166,True,11752,"(323, 254)",1.0,1
126,00001681.jpg,626,417,250,48,386,156,True,14688,"(626, 417)",1.0,1
127,00001859.jpg,678,1024,313,126,397,274,True,12432,"(678, 1024)",1.0,1
128,00001871.jpg,390,280,127,33,273,152,True,17374,"(390, 280)",1.0,1
129,00001865.jpg,1050,700,335,26,827,408,True,187944,"(1050, 700)",1.0,1
130,00001864.jpg,1300,866,476,81,606,182,True,13130,"(1300, 866)",1.0,1
131,00001870.jpg,676,1023,103,44,434,614,True,188670,"(676, 1023)",1.0,1
132,00001858.jpg,1600,1156,890,74,1286,407,True,131868,"(1600, 1156)",1.0,1
133,00001680.jpg,600,419,245,43,358,134,True,10283,"(600, 419)",1.0,1
134,00003097.jpg,612,408,420,149,522,229,True,8160,"(612, 408)",1.0,1
137,00003083.jpg,1000,1500,379,207,490,402,True,21645,"(1000, 1500)",1.0,1
138,00001694.jpg,319,450,109,27,182,146,True,8687,"(319, 450)",1.0,1
139,00000207.jpg,1024,682,639,136,758,228,True,10948,"(1024, 682)",1.0,1
140,00001119.jpg,400,600,133,1,238,176,True,18375,"(400, 600)",1.0,1
141,00000561.jpg,8192,5461,3976,2375,5544,3592,True,1908256,"(8192, 5461)",1.0,1
145,00003068.jpg,960,640,307,176,658,448,True,95472,"(960, 640)",1.0,1
146,00002376.jpg,800,547,162,39,741,500,True,266919,"(800, 547)",1.0,1
147,00000213.jpg,735,490,212,39,499,261,True,63714,"(735, 490)",1.0,1
148,00001125.jpg,1000,569,381,77,614,231,True,35882,"(1000, 569)",0.0,0
149,00003054.jpg,960,720,637,132,792,267,True,20925,"(960, 720)",1.0,1
151,00001643.jpg,1300,970,761,224,1005,435,True,51484,"(1300, 970)",1.0,1
154,00001657.jpg,1500,1101,739,240,1081,538,True,101916,"(1500, 1101)",1.0,1
155,00000549.jpg,626,415,90,148,229,256,True,15012,"(626, 415)",1.0,1
159,00002438.jpg,1400,1750,642,320,776,519,True,26666,"(1400, 1750)",1.0,1
160,00001131.jpg,366,540,99,34,258,301,True,42453,"(366, 540)",1.0,1
161,00003295.jpg,612,361,356,65,575,219,True,33726,"(612, 361)",1.0,1
165,00001482.jpg,770,513,254,21,467,190,True,35997,"(770, 513)",1.0,1
167,00000944.jpg,866,1390,431,78,564,328,True,33250,"(866, 1390)",1.0,1
168,00002821.jpg,2500,1667,1266,393,1835,826,True,246377,"(2500, 1667)",1.0,1
170,00000788.jpg,590,788,252,67,358,232,True,17490,"(590, 788)",1.0,1
171,00002174.jpg,1067,1390,280,429,455,689,True,45500,"(1067, 1390)",1.0,1
172,00000763.jpg,955,1300,234,170,492,578,True,105264,"(955, 1300)",1.0,1
173,00000005.jpg,1300,957,811,171,976,313,True,23430,"(1300, 957)",1.0,1
174,00002606.jpg,640,480,334,75,410,142,True,5092,"(640, 480)",1.0,1
177,00000011.jpg,4256,2832,1481,830,2110,1317,True,306323,"(4256, 2832)",1.0,1
178,00000777.jpg,1024,683,312,98,678,389,True,106506,"(1024, 683)",1.0,1
179,00001469.jpg,700,1050,353,35,438,183,True,12580,"(700, 1050)",1.0,1
180,00002160.jpg,699,1050,192,331,442,768,True,109250,"(699, 1050)",1.0,1
181,00001441.jpg,1470,980,496,62,938,405,True,151606,"(1470, 980)",1.0,1
182,00000987.jpg,683,1023,297,42,442,296,True,36830,"(683, 1023)",1.0,1
183,00003256.jpg,1024,1024,324,382,674,782,True,140000,"(1024, 1024)",1.0,1
184,00001327.jpg,1300,1300,355,124,691,515,True,131376,"(1300, 1300)",1.0,1
185,00001333.jpg,1000,667,602,67,835,248,True,42173,"(1000, 667)",1.0,1
186,00001455.jpg,1001,1600,486,248,580,422,True,16356,"(1001, 1600)",0.0,0
187,00000993.jpg,1024,682,501,86,844,347,True,89523,"(1024, 682)",1.0,1
189,00000830.jpg,500,327,210,43,319,126,True,9047,"(500, 327)",1.0,1
190,00003487.jpg,236,236,79,60,132,121,True,3233,"(236, 236)",1.0,1
191,00002941.jpg,464,700,141,261,224,407,True,12118,"(464, 700)",0.0,0
192,00002799.jpg,800,532,398,255,690,481,True,65992,"(800, 532)",1.0,1
194,00001284.jpg,1300,863,302,39,646,304,True,91160,"(1300, 863)",1.0,1
196,00000824.jpg,333,519,116,26,194,167,True,10998,"(333, 519)",1.0,1
197,00002000.jpg,640,360,146,42,376,193,True,34730,"(640, 360)",1.0,1
199,00000617.jpg,1024,683,123,114,328,273,True,32595,"(1024, 683)",1.0,1
205,00002766.jpg,2048,1365,751,248,1516,841,True,453645,"(2048, 1365)",1.0,1
206,00003478.jpg,236,157,28,3,159,105,True,13362,"(236, 157)",1.0,1
207,00002772.jpg,866,1390,89,24,539,846,True,369900,"(866, 1390)",1.0,1
208,00000165.jpg,681,1024,260,202,483,584,True,85186,"(681, 1024)",1.0,1
209,00000603.jpg,1155,648,681,81,1077,340,True,102564,"(1155, 648)",1.0,1
211,00001535.jpg,333,519,149,1,307,277,True,43608,"(333, 519)",1.0,1
212,00003444.jpg,800,800,400,203,590,425,True,42180,"(800, 800)",0.0,0
213,00001253.jpg,626,626,162,151,381,406,True,55845,"(626, 626)",1.0,1
214,00000159.jpg,1000,667,259,251,383,347,True,11904,"(1000, 667)",1.0,1
218,00001247.jpg,800,551,271,100,527,306,True,52736,"(800, 551)",1.0,1
219,00003450.jpg,236,353,112,143,141,194,True,1479,"(236, 353)",1.0,1
221,00003336.jpg,1186,750,459,184,729,382,True,53460,"(1186, 750)",1.0,1
222,00002028.jpg,1581,1054,637,87,1113,455,True,175168,"(1581, 1054)",1.0,1
223,00001910.jpg,598,900,171,70,426,518,True,114240,"(598, 900)",1.0,1
224,00001904.jpg,866,1390,96,107,517,878,True,324591,"(866, 1390)",1.0,1
225,00001092.jpg,600,420,277,48,466,199,True,28539,"(600, 420)",1.0,1
226,00001938.jpg,360,254,61,17,241,162,True,26100,"(360, 254)",1.0,1
227,00001086.jpg,800,582,203,194,343,313,True,16660,"(800, 582)",1.0,1
228,00002564.jpg,464,600,150,158,256,317,True,16854,"(464, 600)",1.0,1
229,00002202.jpg,800,475,425,112,522,181,True,6693,"(800, 475)",1.0,1
230,00003108.jpg,504,483,280,233,355,314,True,6075,"(504, 483)",1.0,1
234,00001079.jpg,866,1390,243,280,445,657,True,76154,"(866, 1390)",1.0,1
235,00001051.jpg,1068,1700,448,30,718,530,True,135000,"(1068, 1700)",1.0,1
236,00000429.jpg,600,400,358,136,429,191,True,3905,"(600, 400)",1.0,1
237,00001737.jpg,1024,774,435,52,689,271,True,55626,"(1024, 774)",1.0,1
238,00001723.jpg,1024,682,316,22,690,312,True,108460,"(1024, 682)",0.0,0
239,00001045.jpg,450,315,159,26,355,190,True,32144,"(450, 315)",1.0,1
240,00001735.jpg,390,280,106,9,229,112,True,12669,"(390, 280)",1.0,1
242,00001047.jpg,1300,1298,488,103,809,477,True,120054,"(1300, 1298)",1.0,1
243,00003136.jpg,894,610,329,294,433,377,True,8632,"(894, 610)",1.0,1
244,00002228.jpg,700,1050,244,67,354,259,True,21120,"(700, 1050)",1.0,1
245,00001721.jpg,600,421,344,156,408,209,True,3392,"(600, 421)",1.0,1
246,00001709.jpg,4016,6016,1812,745,2969,2718,True,2282761,"(4016, 6016)",1.0,1
247,00002566.jpg,680,1019,306,113,383,251,True,10626,"(680, 1019)",1.0,1
248,00002572.jpg,800,1200,332,39,514,350,True,56602,"(800, 1200)",1.0,1
249,00000365.jpg,1000,667,503,65,804,293,True,68628,"(1000, 667)",1.0,1
250,00001090.jpg,1039,1300,570,97,685,269,True,19780,"(1039, 1300)",1.0,1
251,00001084.jpg,390,280,164,16,233,73,True,3933,"(390, 280)",1.0,1
252,00001912.jpg,1500,1120,434,86,1065,634,True,345788,"(1500, 1120)",1.0,1
253,00001906.jpg,683,1024,364,109,510,363,True,37084,"(683, 1024)",1.0,1
254,00001251.jpg,779,1000,407,81,492,207,True,10710,"(779, 1000)",1.0,1
255,00002758.jpg,488,488,104,31,242,188,True,21666,"(488, 488)",1.0,1
256,00003320.jpg,640,960,264,312,453,634,True,60858,"(640, 960)",1.0,1
257,00001537.jpg,392,600,146,46,275,275,True,29541,"(392, 600)",1.0,1
258,00001523.jpg,2000,1333,495,282,1374,963,True,598599,"(2000, 1333)",1.0,1
259,00003334.jpg,612,408,90,126,336,317,True,46986,"(612, 408)",1.0,1
260,00003452.jpg,236,354,86,87,116,140,True,1590,"(236, 354)",1.0,1
261,00000615.jpg,1232,821,981,229,1193,394,True,34980,"(1232, 821)",1.0,1
264,00002002.jpg,1300,956,152,2,996,535,True,449852,"(1300, 956)",1.0,1
265,00002016.jpg,855,1390,249,193,675,980,True,335262,"(855, 1390)",1.0,1
266,00003308.jpg,720,1076,387,87,581,425,True,65572,"(720, 1076)",1.0,1
267,00000601.jpg,640,427,254,97,377,192,True,11685,"(640, 427)",1.0,1
272,00001279.jpg,209,140,75,32,148,90,True,4234,"(209, 140)",1.0,1
273,00002943.jpg,600,419,16,17,348,338,True,106572,"(600, 419)",1.0,1
276,00000832.jpg,590,887,253,34,371,236,True,23836,"(590, 887)",1.0,1
277,00000826.jpg,1024,682,368,50,617,243,True,48057,"(1024, 682)",1.0,1
278,00001286.jpg,1000,668,502,135,690,281,True,27448,"(1000, 668)",1.0,1
279,00001325.jpg,1300,956,88,1,1198,885,True,981240,"(1300, 956)",0.0,0
280,00003254.jpg,612,408,380,85,456,142,True,4332,"(612, 408)",1.0,1
282,00000985.jpg,2000,3000,938,338,1540,1388,True,632100,"(2000, 3000)",1.0,1
283,00001443.jpg,1600,1155,866,59,1147,295,True,66316,"(1600, 1155)",1.0,1
284,00001457.jpg,866,1300,283,216,384,388,True,17372,"(866, 1300)",1.0,1
285,00003240.jpg,390,280,117,62,251,174,True,15008,"(390, 280)",1.0,1
288,00002638.jpg,1023,682,560,245,740,385,True,25200,"(1023, 682)",1.0,1
289,00002610.jpg,1024,682,569,168,699,269,True,13130,"(1024, 682)",1.0,1
291,00001319.jpg,333,519,145,46,220,180,True,10050,"(333, 519)",1.0,1
292,00000761.jpg,236,354,101,7,131,59,True,1560,"(236, 354)",1.0,1
293,00003268.jpg,509,340,300,87,406,169,True,8692,"(509, 340)",1.0,1
294,00002162.jpg,640,480,153,56,569,411,True,147680,"(640, 480)",1.0,1
295,00000775.jpg,1000,1498,356,570,539,889,True,58377,"(1000, 1498)",1.0,1
296,00002604.jpg,1300,956,496,89,923,454,True,155855,"(1300, 956)",1.0,1
297,00002837.jpg,829,580,460,290,583,390,True,12300,"(829, 580)",1.0,1
300,00001480.jpg,1000,667,342,99,839,494,True,196315,"(1000, 667)",1.0,1
301,00003297.jpg,735,490,199,81,356,203,True,19154,"(735, 490)",1.0,1
307,00003283.jpg,800,533,388,71,526,178,True,14766,"(800, 533)",1.0,1
308,00000952.jpg,590,367,180,37,350,160,True,20910,"(590, 367)",1.0,1
309,00001494.jpg,450,320,306,21,389,90,True,5727,"(450, 320)",1.0,1
310,00002823.jpg,504,358,213,154,267,198,True,2376,"(504, 358)",1.0,1
314,00001899.jpg,1300,957,525,125,933,475,True,142800,"(1300, 957)",1.0,1
315,00001641.jpg,600,420,238,52,371,160,True,14364,"(600, 420)",1.0,1
316,00002348.jpg,2946,1960,1744,237,2473,801,True,411156,"(2946, 1960)",1.0,1
317,00003056.jpg,633,1234,194,683,402,1144,True,95888,"(633, 1234)",0.0,0
318,00000239.jpg,500,486,117,181,174,245,True,3648,"(500, 486)",1.0,1
323,00001133.jpg,533,849,199,1,370,304,True,51813,"(533, 849)",1.0,1
324,00003042.jpg,3072,2304,1294,1,2025,480,True,350149,"(3072, 2304)",1.0,1
325,00001655.jpg,800,533,317,101,568,291,True,47690,"(800, 533)",1.0,1
326,00002374.jpg,789,900,579,148,700,306,True,19118,"(789, 900)",1.0,1
328,00000563.jpg,650,433,115,130,239,226,True,11904,"(650, 433)",1.0,1
332,00000205.jpg,800,582,499,92,636,208,True,15892,"(800, 582)",1.0,1
333,00002412.jpg,1500,1000,139,264,519,559,True,112100,"(1500, 1000)",1.0,1
336,00002406.jpg,1000,750,754,182,941,346,True,30668,"(1000, 750)",1.0,1
337,00000211.jpg,534,849,175,202,271,380,True,17088,"(534, 849)",1.0,1
338,00000577.jpg,590,394,420,62,513,134,True,6696,"(590, 394)",1.0,1
344,00001669.jpg,600,900,267,33,343,166,True,10108,"(600, 900)",1.0,1
345,00002360.jpg,381,600,150,131,207,234,True,5871,"(381, 600)",1.0,1
346,00003095.jpg,1300,959,266,207,762,633,True,211296,"(1300, 959)",1.0,1
347,00001682.jpg,600,900,253,121,331,257,True,10608,"(600, 900)",1.0,1
348,00001696.jpg,390,280,205,22,290,93,True,6035,"(390, 280)",1.0,1
349,00000588.jpg,1800,1200,1244,293,1628,591,True,114432,"(1800, 1200)",1.0,1
350,00003081.jpg,616,823,177,99,483,565,True,142596,"(616, 823)",1.0,1
351,00001866.jpg,1000,1500,427,320,680,752,True,109296,"(1000, 1500)",1.0,1
352,00001872.jpg,1300,881,258,23,602,300,True,95288,"(1300, 881)",1.0,1
353,00001873.jpg,800,582,417,99,658,303,True,49164,"(800, 582)",1.0,1
354,00003080.jpg,390,280,14,59,189,202,True,25025,"(390, 280)",1.0,1
357,00000589.jpg,590,433,53,30,112,81,True,3009,"(590, 433)",1.0,1
360,00001697.jpg,800,746,1,1,339,371,True,125060,"(800, 746)",1.0,1
361,00001668.jpg,626,417,245,45,373,144,True,12672,"(626, 417)",1.0,1
362,00000576.jpg,1500,1120,1005,53,1419,413,True,149040,"(1500, 1120)",1.0,1
368,00000562.jpg,630,343,22,62,233,196,True,28274,"(630, 343)",1.0,1
372,00002375.jpg,551,751,161,48,313,289,True,36632,"(551, 751)",1.0,1
373,00002413.jpg,3000,2000,1756,307,2219,666,True,166217,"(3000, 2000)",1.0,1
374,00000204.jpg,300,470,128,70,163,134,True,2240,"(300, 470)",1.0,1
375,00001132.jpg,450,347,205,56,369,207,True,24764,"(450, 347)",1.0,1
376,00003043.jpg,500,333,193,56,371,194,True,24564,"(500, 333)",1.0,1
377,00003057.jpg,227,340,107,92,150,166,True,3182,"(227, 340)",1.0,1
379,00002349.jpg,612,408,163,44,364,203,True,31959,"(612, 408)",1.0,1
380,00000238.jpg,400,600,154,74,225,195,True,8591,"(400, 600)",1.0,1
381,00000953.jpg,1000,1500,392,123,588,465,True,67032,"(1000, 1500)",1.0,1
382,00002822.jpg,1024,683,621,298,854,479,True,42173,"(1024, 683)",1.0,1
385,00002836.jpg,1300,956,460,176,640,330,True,27720,"(1300, 956)",1.0,1
386,00003296.jpg,612,408,238,177,411,311,True,23182,"(612, 408)",1.0,1
390,00001481.jpg,650,433,169,61,344,197,True,23800,"(650, 433)",1.0,1
391,00000947.jpg,682,1024,317,139,382,253,True,7410,"(682, 1024)",1.0,1
392,00000774.jpg,736,1104,273,108,405,338,True,30360,"(736, 1104)",1.0,1
393,00002163.jpg,918,1390,372,133,609,551,True,99066,"(918, 1390)",1.0,1
394,00002605.jpg,960,702,300,204,454,339,True,20790,"(960, 702)",1.0,1
395,00000012.jpg,600,400,183,73,402,243,True,37230,"(600, 400)",1.0,1
396,00000006.jpg,2667,4000,1002,787,1547,1739,True,518840,"(2667, 4000)",1.0,1
397,00002611.jpg,466,700,87,96,129,169,True,3066,"(466, 700)",1.0,1
399,00003269.jpg,612,415,131,118,300,251,True,22477,"(612, 415)",1.0,1
400,00000760.jpg,800,533,320,85,571,279,True,48694,"(800, 533)",1.0,1
401,00001456.jpg,667,1000,274,47,443,335,True,48672,"(667, 1000)",1.0,1
402,00000990.jpg,612,408,236,27,497,235,True,54288,"(612, 408)",1.0,1
403,00001330.jpg,800,533,164,28,450,250,True,63492,"(800, 533)",1.0,1
404,00002639.jpg,1500,1219,842,341,980,469,True,17664,"(1500, 1219)",1.0,1
405,00001324.jpg,1000,667,454,66,629,203,True,23975,"(1000, 667)",1.0,1
406,00001442.jpg,460,374,106,1,445,262,True,88479,"(460, 374)",0.0,0
407,00003255.jpg,800,800,113,304,316,539,True,47705,"(800, 800)",1.0,1
408,00000827.jpg,666,440,382,56,547,180,True,20460,"(666, 440)",1.0,1
409,00002956.jpg,497,347,174,58,321,176,True,17346,"(497, 347)",1.0,1
410,00001287.jpg,1600,1167,492,42,1092,551,True,305400,"(1600, 1167)",1.0,1
411,00001293.jpg,626,418,195,60,400,223,True,33415,"(626, 418)",1.0,1
412,00003484.jpg,543,810,104,57,465,682,True,225625,"(543, 810)",1.0,1
413,00000833.jpg,533,849,159,133,275,349,True,25056,"(533, 849)",1.0,1
414,00003309.jpg,612,408,366,104,499,206,True,13566,"(612, 408)",1.0,1
416,00002771.jpg,2500,1891,1429,876,1679,1092,True,54000,"(2500, 1891)",1.0,1
418,00000166.jpg,1000,610,433,25,944,380,True,181405,"(1000, 610)",1.0,1
419,00001278.jpg,600,397,316,49,504,191,True,26696,"(600, 397)",1.0,1
420,00000172.jpg,681,1024,319,141,455,375,True,31824,"(681, 1024)",1.0,1
421,00002003.jpg,1024,684,162,30,1002,683,True,548520,"(1024, 684)",1.0,1
422,00001522.jpg,626,417,362,63,490,165,True,13056,"(626, 417)",1.0,1
423,00001244.jpg,2000,1125,748,173,1175,452,True,119133,"(2000, 1125)",1.0,1
424,00003453.jpg,236,157,128,9,190,58,True,3038,"(236, 157)",0.0,0
425,00002995.jpg,2048,1362,965,161,1946,920,True,744579,"(2048, 1362)",1.0,1
426,00002759.jpg,1200,1200,420,372,621,607,True,47235,"(1200, 1200)",1.0,1
427,00003447.jpg,612,408,92,44,293,203,True,31959,"(612, 408)",1.0,1
428,00001536.jpg,626,417,330,55,591,262,True,54027,"(626, 417)",1.0,1
429,00001907.jpg,400,278,88,36,278,193,True,29830,"(400, 278)",1.0,1
430,00001913.jpg,867,1300,333,77,495,361,True,46008,"(867, 1300)",1.0,1
431,00001085.jpg,1600,1000,339,1,1378,629,True,652492,"(1600, 1000)",1.0,1
432,00001091.jpg,4000,6000,1408,1,2359,1617,True,1536816,"(4000, 6000)",1.0,1
433,00000364.jpg,400,600,190,88,234,164,True,3344,"(400, 600)",1.0,1
434,00002573.jpg,960,720,562,151,780,346,True,42510,"(960, 720)",1.0,1
436,00002215.jpg,612,487,362,36,493,157,True,15851,"(612, 487)",1.0,1
438,00000416.jpg,1600,1167,609,70,861,285,True,54180,"(1600, 1167)",1.0,1
439,00001708.jpg,1500,1098,879,201,1228,498,True,103653,"(1500, 1098)",1.0,1
440,00002201.jpg,1200,633,779,293,1148,519,True,83394,"(1200, 633)",1.0,1
441,00001046.jpg,390,280,122,3,365,202,True,48357,"(390, 280)",0.0,0
442,00000358.jpg,6000,4000,3241,724,4441,1655,True,1117200,"(6000, 4000)",1.0,1
443,00001720.jpg,600,900,175,5,463,495,True,141120,"(600, 900)",1.0,1
444,00002229.jpg,374,580,166,161,273,351,True,20330,"(374, 580)",1.0,1
445,00003123.jpg,538,700,123,159,174,237,True,3978,"(538, 700)",1.0,1
446,00001734.jpg,1023,709,534,53,849,306,True,79695,"(1023, 709)",1.0,1
447,00001052.jpg,500,813,181,9,372,370,True,68951,"(500, 813)",1.0,1
448,00002563.jpg,1280,855,444,13,804,294,True,101160,"(1280, 855)",1.0,1
450,00002205.jpg,861,1390,368,67,464,247,True,17280,"(861, 1390)",1.0,1
451,00001718.jpg,398,600,149,66,225,200,True,10184,"(398, 600)",1.0,1
452,00000406.jpg,200,200,80,51,119,97,True,1794,"(200, 200)",1.0,1
453,00002211.jpg,1300,956,202,64,1156,862,True,761292,"(1300, 956)",1.0,1
454,00002577.jpg,683,1024,295,338,423,557,True,28032,"(683, 1024)",1.0,1
455,00000348.jpg,590,342,319,69,418,137,True,6732,"(590, 342)",1.0,1
456,00001056.jpg,2940,1960,1374,340,1961,797,True,268259,"(2940, 1960)",1.0,1
457,00001730.jpg,600,420,265,35,408,151,True,16588,"(600, 420)",1.0,1
458,00003127.jpg,6000,4000,3293,1004,4573,2019,True,1299200,"(6000, 4000)",1.0,1
459,00002239.jpg,1000,667,609,95,897,318,True,64224,"(1000, 667)",1.0,1
462,00003133.jpg,612,408,174,230,273,306,True,7524,"(612, 408)",1.0,1
464,00001724.jpg,407,612,93,99,283,423,True,61560,"(407, 612)",1.0,1
465,00001042.jpg,800,582,204,39,595,378,True,132549,"(800, 582)",1.0,1
466,00001917.jpg,1024,683,366,54,1016,569,True,334750,"(1024, 683)",1.0,1
467,00001095.jpg,600,398,191,3,589,284,True,111838,"(600, 398)",1.0,1
468,00002588.jpg,1024,1024,540,115,892,517,True,141504,"(1024, 1024)",1.0,1
470,00001081.jpg,509,339,193,33,319,131,True,12348,"(509, 339)",1.0,1
471,00000610.jpg,1500,1117,502,47,754,266,True,55188,"(1500, 1117)",1.0,1
474,00002007.jpg,612,408,255,29,427,166,True,23564,"(612, 408)",1.0,1
475,00003319.jpg,800,533,306,29,800,441,True,203528,"(800, 533)",1.0,1
476,00000162.jpg,400,280,214,50,313,131,True,8019,"(400, 280)",1.0,1
477,00002775.jpg,1024,800,316,239,438,350,True,13542,"(1024, 800)",1.0,1
478,00002013.jpg,1333,2000,430,134,840,850,True,293560,"(1333, 2000)",1.0,1
479,00000604.jpg,1600,1168,469,342,910,709,True,161847,"(1600, 1168)",1.0,1
482,00003325.jpg,1200,750,345,85,767,392,True,129554,"(1200, 750)",1.0,1
483,00001532.jpg,500,750,195,175,327,406,True,30492,"(500, 750)",1.0,1
484,00001254.jpg,1300,731,532,65,804,239,True,47328,"(1300, 731)",1.0,1
485,00003443.jpg,236,330,97,30,152,119,True,4895,"(236, 330)",1.0,1
486,00002985.jpg,1300,868,638,47,876,233,True,44268,"(1300, 868)",1.0,1
487,00003457.jpg,236,354,95,53,148,145,True,4876,"(236, 354)",1.0,1
488,00002991.jpg,1080,720,564,105,689,202,True,12125,"(1080, 720)",1.0,1
492,00001240.jpg,500,749,198,174,298,344,True,17000,"(500, 749)",1.0,1
